"10143091|1-1- Introduction|wePUPergTeeOoETUKyrD",
"9590090|1-2- What is SQL|KAXckNQO69WX6TrsATAg",
"9590091|1-3- Installing MySQL on Mac|B9XN2VdgQSWfnrecfUCh",
"9590089|1-4- Installing MySQL on Windows|PAeLrG1vSxeTAt7oIn0A",
"9590092|1-5- Creating the Databases|7PEIAywFTtybMilbJIcI",
"10143042|1-6- What You ll Learn|eUWLeRlJTM6G6LHbTQZ6",
"9590114|2-1- The SELECT Statement|ARvQta3BSB2uayK0mTze",
"9590110|2-2- The SELECT Clause|ijrBl44FQxG4oT9Nc96H",
"9590107|2-3- The WHERE Clause|SL94iObeTcsQIPM3InVg",
"9590116|2-4- The AND, OR and NOT Operators|tCVFmUoWQJWo01YwCxv0",
"9590112|2-5- The IN Operator|VJG2RXL8Rbmf1aJahlIf",
"9590113|2-6- The BETWEEN Operator|Zt1gAQuT561Vnuf5Z8EZ",
"9590108|2-7- The LIKE Operator|AWKmeXHuSqioE7AwFJWC",
"9590111|2-8- The REGEXP Operator|WQTCq5fUQlupAZaq47KC",
"9590115|2-9- The IS NULL Operator|FPHO8rOFS22m8fHZi6mQ",
"9590109|2-10- The ORDER BY Clause|GXsHXFh6RxKElBryYNKg",
"9590117|2-11- The LIMIT Clause|48z6F7SVR2WP27nHQZ9y",
"9590157|3-1- Inner Joins|hY7ntBiT4uZA336RCrPM",
"9590159|3-2- Joining Across Databases|ZVA3HPtARN22cYYszzau",
"9590152|3-3- Self Joins|IBey0ZB3ReuSbQDvVRAC",
"9590163|3-4- Joining Multiple Tables|1HQDVu8FQ5m284erWn4C",
"9590161|3-5- Compound Join Conditions|FIrJi6qUQmifS9apm7kQ",
"9590158|3-6- Implicit Join Syntax|7V0IYw3ZRJWGdl6q4py6",
"9590155|3-7- Outer Joins|Dr9yciAbQvWdbx4cQmiG",
"9590154|3-8- Outer Join Between Multiple Tables|4QoSSoSSvDyMCcSjI3g1",
"9590153|3-9- Self Outer Joins|TnyiEO2PSyaH1HdsPa6e",
"9590162|3-10- The USING Clause|9989TtEgTi2L0Bsye0Oq",
"9590164|3-11- Natural Joins|GSmcSIcLTveIsGDv1UXY",
"9590160|3-12- Cross Joins|NZEjbMqdSfqwjY4hgcjg",
"9590156|3-13- Unions|aPeBG6ZRmqD9WS9xzgAS",
"9590180|4-1- Column Attributes|uIskliPSc6NlSIqvdR1n",
"9590183|4-2- Inserting a Row|DKFjqDnQS65UA0gl138S",
"9590182|4-3- Inserting Multiple Rows|JXkzxnGUSwO8IQ9rszfM",
"9590188|4-4- Inserting Hierarchical Rows|hi53c1sFR86SUPqMtJxS",
"9590187|4-5- Creating a Copy of a Table|PFyogbmSvyA7ZZ0sg8mB",
"9590185|4-6- Updating a Single Row|rDiGvj8BS6yuxJrQEEXp",
"9590179|4-7- Updating Multiple Rows|iMQoSgWiT0W0PDhylQ5d",
"9590186|4-8- Using Subqueries in Updates|n7gn92JyR9aU7ao3mjy6",
"9590181|4-9- Deleting Rows|rd4RjzAXRxCF16NMmGWJ",
"9590184|4-10- Restoring the Databases|gjBExioSNaguKV9KIIPL",
"9590223|5-1- Aggregate Functions|Y4d4bm82SFmcEmY8K5zq",
"9590220|5-2- The GROUP BY Clause|pYoBRcB7TiiPSckNJtdD",
"9590222|5-3- The HAVING Clause|6Q25rISJSk6Gr7Slpr9B",
"9590221|5-4- The ROLLUP Operator|ycgBjlIR8qMZKt643XJd",
"9590240|6-1- Introduction|tcNW6j2ZREOex5lTsgkN",
"9590237|6-2- Subqueries|eeZvMEMSWCIUpLu2gIZh",
"9590235|6-3- The IN Operator|6v0fJ4YQ4G7YuvGgdiXw",
"9590241|6-4- Subqueries vs Joins|Cnl47angSTi9uB584nrn",
"9590248|6-5- The ALL Keyword|mnZiLoTsT2aVElndVpsb",
